instance_id,n_sys,d,M,M_over_d,benchmark_type,ensemble_name,state_generation,state_dtype,basis_order,stateprep_operation,stateprep_decomposition,ensemble_seed,benchmark_internal_seed,data_seed,nested_max_m,fix_global_phase,duplicate_policy,prior_type,raw_outcomes,effective_m_outcomes,projection_strategy,class_group_sizes,coverage_ratio,p_opt,pairwise_fidelity_mean,pairwise_fidelity_std,pairwise_fidelity_max,pairwise_fidelity_count,frame_potential_2,single_qubit_purity_mean,single_qubit_purity_std,single_qubit_purity_min,single_qubit_purity_max,gram_rank_numeric,gram_lambda_min,gram_lambda_max,gram_trace,duplicate_fidelity_threshold,duplicate_threshold_exceeded,p_succ_full,gap_abs_full,p_succ_random_sparse,gap_abs_random_sparse,p_succ_walsh_deg1,gap_abs_walsh_deg1,num_ucr_params_full,num_ucr_params_degree1_budget,num_ucr_params_random_sparse,num_ucr_params_walsh_deg1,random_sparse_execution,random_sparse_theta_dim_full_reference,random_sparse_trainable_param_count_total,sparse_budget_rule,sparse_frozen_fill,optimizer_name,learning_rate,learning_rate_schedule,max_steps,eval_interval,threshold,num_restarts,stopping_rule,aggregation_rule,best_restart_full,best_restart_random_sparse,best_restart_walsh_deg1,seed_opt_full,seed_opt_random_sparse,seed_opt_walsh_deg1,num_steps_full,num_steps_random_sparse,num_steps_walsh_deg1,termination_reason_full,termination_reason_random_sparse,termination_reason_walsh_deg1,wall_clock_sec_full,wall_clock_sec_random_sparse,wall_clock_sec_walsh_deg1
0,3,8,5,0.625,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260504,1994040886,20360504,12,False,record_only,uniform,8,5,drop_extra,"[1, 1, 1, 1, 1]",0.625,0.88663702914427,0.10161937275537565,0.09168771596498794,0.31387575092552455,10,0.21498650734245778,0.6584516720245337,0.07059511409680715,0.5475039480229504,0.8086649620898031,5,0.18027458076476766,2.064619463721943,5.0,0.98,False,0.8866353083228422,1.7208214277975031e-06,0.5448645851389263,0.3417724440053437,0.8866353150846544,1.7140596155762466e-06,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,3,2,16,3,2,16,400,300,300,threshold,threshold,threshold,5.552122129127383,2.976309150457382,2.902450395748019
1,3,8,5,0.625,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260505,980209883,20360505,12,False,record_only,uniform,8,5,drop_extra,"[1, 1, 1, 1, 1]",0.625,0.8609333991877101,0.14601346973453785,0.09635764266615823,0.2988925946497898,10,0.22448378291527823,0.6996362177740484,0.0750097554524733,0.5971103028185084,0.8374242183372436,5,0.17734331797371508,2.4063300540772534,5.0,0.98,False,0.8609330426573273,3.565303827723909e-07,0.570916698367437,0.2900167008202731,0.8609330432768165,3.559108935347055e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,33,42,30,33,42,30,400,350,300,threshold,threshold,threshold,4.7644437327980995,3.2230756524950266,3.2848392482846975
2,3,8,5,0.625,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260506,768071746,20360506,12,False,record_only,uniform,8,5,drop_extra,"[1, 1, 1, 1, 1]",0.625,0.8971268033458827,0.09465685204310388,0.07636188958826517,0.2649128179464711,10,0.2118328462561604,0.6548925612300731,0.11373794175780037,0.5198565128697962,0.8392772396359054,5,0.21193355776773584,2.048020957300282,5.0,0.98,False,0.8971260534381241,7.499077585571001e-07,0.8971260499722034,7.533736793297052e-07,0.8971260536823493,7.496635333614776e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,2,45,31,2,45,31,400,500,350,threshold,threshold,threshold,5.076255334541202,4.737416259944439,3.3744733426719904
3,3,8,5,0.625,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260507,1734564141,20360507,12,False,record_only,uniform,8,5,drop_extra,"[1, 1, 1, 1, 1]",0.625,0.865033561045766,0.12377279983461964,0.1645030509905502,0.6024885223108558,10,0.2339047678112803,0.6147112969846624,0.09126544160757905,0.5137468850004275,0.8655061658285882,5,0.14776356604432794,2.1804652297930405,5.0,0.98,False,0.8650337416051368,-1.805593707882025e-07,0.7508786581043593,0.11415490294140673,0.8650337908036582,-2.2975789215617937e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,22,17,32,22,17,32,350,350,550,threshold,threshold,threshold,4.955548403784633,3.3051768727600574,5.077577171847224
4,3,8,5,0.625,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260508,636702486,20360508,12,False,record_only,uniform,8,5,drop_extra,"[1, 1, 1, 1, 1]",0.625,0.8505934785919512,0.1577263082822262,0.12173432349306973,0.3447248290878696,10,0.2317574670725241,0.647146894709871,0.08445069751561182,0.5321310241795191,0.7841853668823073,5,0.2588027118251761,2.342137923077348,4.999999999999999,0.98,False,0.8505936754939292,-1.9690197794464126e-07,0.850593678164183,-1.9957223174049687e-07,0.8505936781526338,-1.995606825344609e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,34,10,25,34,10,25,450,600,350,threshold,threshold,threshold,5.935938619077206,5.65871823951602,2.9395054318010807
5,3,8,5,0.625,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260509,1157600670,20360509,12,False,record_only,uniform,8,5,drop_extra,"[1, 1, 1, 1, 1]",0.625,0.8940587974169516,0.10880907557725084,0.09055116796062532,0.2585375903065863,10,0.21603114315760735,0.620391472952436,0.06132438406303109,0.516244827675697,0.7270501160444315,5,0.3365065851065929,2.06512937373207,5.0,0.98,False,0.8940580097393109,7.876776406678943e-07,0.8940580109504425,7.86466509139494e-07,0.8940580110419454,7.863750062231389e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,25,21,26,25,21,26,550,350,300,threshold,threshold,threshold,7.098416639491916,3.2888143956661224,3.1173891723155975
6,3,8,5,0.625,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260510,569379569,20360510,12,False,record_only,uniform,8,5,drop_extra,"[1, 1, 1, 1, 1]",0.625,0.8011551235222266,0.17399613147009635,0.10126754183085374,0.3363806814045702,10,0.2324238150360182,0.6723854322403605,0.11357793717650831,0.5189456272358949,0.9311843966043041,5,0.07606027583770085,2.402595666880752,5.0,0.98,False,0.8011540453093767,1.0782128498920684e-06,0.8011540556231002,1.0678991264612137e-06,0.80115405565371,1.067868516613224e-06,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,32,19,11,32,19,11,450,550,400,threshold,threshold,threshold,5.381990810856223,4.808531511574984,3.7611695267260075
7,3,8,5,0.625,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260511,281726802,20360511,12,False,record_only,uniform,8,5,drop_extra,"[1, 1, 1, 1, 1]",0.625,0.8765338896132913,0.12594428485329218,0.1054195392785741,0.3397514741600219,10,0.22158019371913112,0.662354655387782,0.0894749484838352,0.513394502924124,0.8416508479435538,5,0.2140430235760124,2.2531365799110645,5.0,0.98,False,0.8765326378020885,1.2518112028070405e-06,0.8765326456102649,1.24400302636829e-06,0.8765326469265766,1.242686714642005e-06,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,19,46,47,19,46,47,350,350,350,threshold,threshold,threshold,4.461867740377784,3.326237890869379,3.255918735638261
8,3,8,5,0.625,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260512,2018255730,20360512,12,False,record_only,uniform,8,5,drop_extra,"[1, 1, 1, 1, 1]",0.625,0.8863956609251993,0.09605816956532562,0.058923598546805844,0.19037615106602176,10,0.21015932992475686,0.6443133382911952,0.06806532607091613,0.5583939750999015,0.761333260766085,5,0.18682512918727778,1.9331897974338281,5.0,0.98,False,0.8863948783473087,7.825778906012104e-07,0.5852381375758449,0.3011575233493544,0.886394885891363,7.750338363310405e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,8,49,33,8,49,33,450,300,300,threshold,threshold,threshold,6.008187038823962,3.05802203156054,3.1645262259989977
9,3,8,5,0.625,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260513,139065776,20360513,12,False,record_only,uniform,8,5,drop_extra,"[1, 1, 1, 1, 1]",0.625,0.8591840280466803,0.15515486250036276,0.13185347526041408,0.3547060575008845,10,0.2331666962366041,0.7006827065786908,0.10221699327591378,0.5429056412784701,0.8742779964000535,5,0.24381903709267735,2.4056404918119365,5.0,0.98,False,0.8591823533874678,1.6746592124139426e-06,0.8591823640162517,1.664030428560892e-06,0.8591823642497703,1.6637969099120298e-06,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,13,17,39,13,17,39,400,350,450,threshold,threshold,threshold,5.093591855838895,3.2166145648807287,4.0510999616235495
0,3,8,6,0.75,exact_haar_d8,Exact-Haar-D8,normalized_complex_gaussian,complex64,PennyLane/StatePrep computational basis order,qml.StatePrep,MottonenStatePreparation,20260504,1994040886,20360504,12,False,record_only,uniform,8,6,drop_extra,"[1, 1, 1, 1, 1, 1]",0.75,0.8372309970506381,0.12749558324338398,0.1232122863484375,0.40816287381738336,15,0.19286365937814998,0.6651193359859996,0.0774765260729259,0.5475039480229504,0.8380949646585012,6,0.16621395919604567,2.540055558532382,6.0,0.98,False,0.8372310986780145,-1.0162737640317943e-07,0.8372310954170713,-9.8366433221031e-08,0.8372311042108587,-1.0716022058598895e-07,56,15,15,15,active_gate,511,470,blockwise_match_degree1,not_applicable_active_gate,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,25,36,17,25,36,17,550,400,300,threshold,threshold,threshold,7.710120603442192,4.037987682968378,3.2152187302708626
