instance_id,n_sys,d,M,M_over_d,fiducial_id,orbit_index_set_id,prior_type,benchmark_seed,data_seed,raw_outcomes,effective_m_outcomes,projection_strategy,class_group_sizes,coverage_ratio,p_opt,p_succ_full,gap_abs_full,gap_rel_full,p_succ_deg1,gap_abs_deg1,gap_rel_deg1,G2_deg1,G2_sq_deg1,G2_block_json,num_ucr_params_full,num_ucr_params_deg1,ucr_compression_ratio,optimizer_name,learning_rate,learning_rate_schedule,max_steps,eval_interval,threshold,num_restarts,stopping_rule,aggregation_rule,best_restart_full,best_restart_deg1,num_steps_full,num_steps_deg1,termination_reason_full,termination_reason_deg1,wall_clock_sec_full,wall_clock_sec_deg1
0,3,8,10,1.25,weyl_seed_310000,weyl_labels_seed_610000_unique,uniform,310000,610000,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,0.6753763825492125,0.6753765074412388,-1.2489202627641305e-07,-1.8492211084581798e-07,0.6284030687083706,0.04697331384084191,0.06955131250450429,0.04945092158683511,0.0024453936457873144,"[0.04945092156101676, 1.5719454815311926e-06, 2.871310727476198e-07, 5.023945453331792e-09]",120,22,5.454545454545454,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,43,8,450,1000,threshold,max_steps,42.04140204191208,74.18788660131395
1,3,8,10,1.25,weyl_seed_310001,weyl_labels_seed_610001_unique,uniform,310001,610001,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,0.6535234247667049,0.6535242281662521,-8.033995472223054e-07,-1.229335501644954e-06,0.620497970950481,0.033025453816223904,0.05053446068595528,0.040477527462933253,0.001638430229512516,"[0.04047752703851005, 5.7001810524982396e-06, 1.3664288796549943e-06, 3.473883540679146e-09]",120,22,5.454545454545454,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,16,38,700,900,threshold,threshold,70.15682195872068,67.7455680295825
2,3,8,10,1.25,weyl_seed_310002,weyl_labels_seed_610002_unique,uniform,310002,610002,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,0.6697057570378347,0.6697040741778795,1.6828599552765056e-06,2.5128348346890993e-06,0.6239111667934392,0.04579459024439558,0.06838016511452571,0.04762223187042299,0.0022678769683203313,"[0.04762223175935406, 2.1594075822471145e-06, 2.4321703014664974e-06, 1.4400804598622951e-08]",120,22,5.454545454545454,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,23,12,800,1000,threshold,max_steps,74.4063242636621,73.88910386152565
3,3,8,10,1.25,weyl_seed_310003,weyl_labels_seed_610003_unique,uniform,310003,610003,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,0.6683034884801743,0.6683031066744325,3.818057418003562e-07,5.713059237033786e-07,0.6264445172026518,0.04185897127752247,0.06263467421472879,0.04702919900813983,0.0022117455593472207,"[0.04702919840946923, 7.268049130556912e-06, 1.8668036529095279e-06, 2.2439754378175553e-08]",120,22,5.454545454545454,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,39,45,600,1000,threshold,max_steps,59.18108991533518,75.64128279872239
4,3,8,10,1.25,weyl_seed_310004,weyl_labels_seed_610004_unique,uniform,310004,610004,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,0.6889339428215966,0.6889249855915583,8.957230038242336e-06,1.3001580386004965e-05,0.6769563917014285,0.011977551120168073,0.017385630719707085,3.921343004067674e-07,1.5376930955550487e-13,"[3.915941790401164e-07, 1.842221442986953e-08, 6.36644305384922e-09, 6.587785344420483e-09]",120,22,5.454545454545454,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,28,17,600,600,threshold,threshold,56.549362218007445,45.73624310083687
5,3,8,10,1.25,weyl_seed_310005,weyl_labels_seed_610005_unique,uniform,310005,610005,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,0.6657197906599317,0.6657204642468983,-6.735869666485428e-07,-1.0118175486127764e-06,0.6160892409356015,0.04963054972433023,0.07455171142671183,0.052009913299280536,0.0027050310813986787,"[0.052009913051630254, 5.013413152740232e-06, 7.912346061528125e-07, 1.3287392677752537e-08]",120,22,5.454545454545454,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,27,11,450,1000,threshold,max_steps,42.6098470184952,74.58403523638844
6,3,8,10,1.25,weyl_seed_310006,weyl_labels_seed_610006_unique,uniform,310006,610006,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,0.7166568971507646,0.7166567588486972,1.383020674650126e-07,1.929822597324668e-07,0.6776224385065245,0.039034458644240155,0.05446742897393534,0.04388406282549744,0.0019258109700722064,"[0.043884062745453575, 1.9594752146379582e-06, 1.7340533499313715e-06, 4.228661484522613e-07]",120,22,5.454545454545454,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,45,7,700,1000,threshold,max_steps,64.7938480079174,75.98679451458156
7,3,8,10,1.25,weyl_seed_310007,weyl_labels_seed_610007_unique,uniform,310007,610007,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,0.6300530642924292,0.6300528676673594,1.9662506989259754e-07,3.120769995990958e-07,0.591195954132749,0.0388571101596803,0.061672757997484125,0.03899092279367862,0.0015202920603026068,"[0.03899092208077562, 7.378023656338849e-06, 1.075987029703094e-06, 2.2577327960867448e-08]",120,22,5.454545454545454,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,20,3,550,1000,threshold,max_steps,51.876580618321896,76.20205801539123
8,3,8,10,1.25,weyl_seed_310008,weyl_labels_seed_610008_unique,uniform,310008,610008,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,0.6877537534448789,0.6877530252963477,7.281485311372293e-07,1.0587343616665378e-06,0.6448081160689352,0.0429456373759437,0.06244333405791532,0.04910748839750662,0.0024115454167112477,"[0.04910748654067343, 6.619080073456472e-06, 1.1770242805838128e-05, 1.3412249164030351e-07]",120,22,5.454545454545454,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,27,49,550,1000,threshold,max_steps,51.71194080449641,76.29007088765502
9,3,8,10,1.25,weyl_seed_310009,weyl_labels_seed_610009_unique,uniform,310009,610009,16,10,drop_extra,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.625,0.6896354451357734,0.6896334037896084,2.0413461649937403e-06,2.96003660976539e-06,0.6373847805910196,0.0522506645447538,0.07576563083190546,0.05618582082461354,0.003156846461735577,"[0.056185820416528635, 6.083131269030214e-06, 2.975279945911877e-06, 1.9856372595346234e-08]",120,22,5.454545454545454,adam,0.01,constant,1000,50,1e-06,50,abs_eval_loss_delta_le_threshold_on_eval_interval,best_over_restarts_for_row;mean_se_for_figure;median_iqr_in_summary,18,16,650,1000,threshold,max_steps,61.226077200844884,78.02820594422519
