state_family,M,regime,model_type,model_label,M_over_d,_source_csv,benchmark_seed,best_objective_value,bias_scale_init,d,data_seed,dtype,eval_interval,final_objective_value,gap_abs_sdp,instance_id,jax_backend,jax_devices,learning_rate,learning_rate_schedule,max_steps,memory_optimization,n_sys,num_ops,num_restarts,num_steps,observed_restart_count,optimizer_name,p_opt_sdp,p_succ,restart_id,scale_init,seed_opt,state_array_sha256,state_family_label,state_seed,su_depth,termination_reason,theta_dim,theta_dtype,threshold,walsh_degree
haar,16,M=d,full_ucr,full-UCR,1.0,/home/shc/QSD_project/gpu_qsd/results/memopt_haar_wd1_fullucr_nsys4_M16_instances00-09_r5_su61_steps1000_nomemopt/instance00/full_ucr/raw/haar_full_ucr_gpu_results.csv,416000,0.25901705026626587,1.0,16,816000,complex64,50,0.2590378522872925,-8.736258286567988e-06,0,gpu,cuda:0,0.01,constant,1000,schedule_checkpoint_plus_microbatch,4,4995,5,1000,5,adam,0.740953411454421,0.7409621477127075,0,1.0,0,37ece13a3bef9094102a8820571638194e68deea4c98f35a33d4ea46c9b06c46,Haar-random,816000,61,max_steps,4080,float32,1e-06,
haar,16,M=d,walsh_degree_1,WD-1,1.0,/home/shc/QSD_project/gpu_qsd/results/memopt_haar_wd1_fullucr_nsys4_M16_instances00-09_r5_su61_steps1000_nomemopt/instance00/walsh_degree_1/raw/haar_walsh_degree1_gpu_results.csv,416000,0.2590157389640808,1.0,16,816000,complex64,50,0.2590339183807373,-1.267016484174377e-05,0,gpu,cuda:0,0.01,constant,1000,schedule_checkpoint_plus_microbatch,4,4825,5,1000,5,adam,0.740953411454421,0.7409660816192627,3,1.0,3,,Haar-random,816000,61,max_steps,3866,float32,1e-06,1
haar,16,M=d,full_ucr,full-UCR,1.0,/home/shc/QSD_project/gpu_qsd/results/memopt_haar_wd1_fullucr_nsys4_M16_instances00-09_r5_su61_steps1000_nomemopt/instance01/full_ucr/raw/haar_full_ucr_gpu_results.csv,416001,0.2676492929458618,1.0,16,816001,complex64,50,0.26766401529312134,-1.6975011439157583e-05,1,gpu,cuda:0,0.01,constant,1000,schedule_checkpoint_plus_microbatch,4,4995,5,1000,5,adam,0.7323190096954395,0.7323359847068787,4,1.0,4,c2ab03ea65ccc28e086a73c81c58359ee8b775bc6a2c612e5bb0845a0555c769,Haar-random,816001,61,max_steps,4080,float32,1e-06,
haar,16,M=d,walsh_degree_1,WD-1,1.0,/home/shc/QSD_project/gpu_qsd/results/memopt_haar_wd1_fullucr_nsys4_M16_instances00-09_r5_su61_steps1000_nomemopt/instance01/walsh_degree_1/raw/haar_walsh_degree1_gpu_results.csv,416001,0.26764869689941406,1.0,16,816001,complex64,50,0.26770901679992676,2.802649536626234e-05,1,gpu,cuda:0,0.01,constant,1000,schedule_checkpoint_plus_microbatch,4,4825,5,1000,5,adam,0.7323190096954395,0.7322909832000732,3,1.0,3,c2ab03ea65ccc28e086a73c81c58359ee8b775bc6a2c612e5bb0845a0555c769,Haar-random,816001,61,max_steps,3866,float32,1e-06,1
haar,16,M=d,full_ucr,full-UCR,1.0,/home/shc/QSD_project/gpu_qsd/results/memopt_haar_wd1_fullucr_nsys4_M16_instances00-09_r5_su61_steps1000_nomemopt/instance02/full_ucr/raw/haar_full_ucr_gpu_results.csv,416002,0.26914238929748535,1.0,16,816002,complex64,50,0.2691735029220581,1.669730485531762e-05,2,gpu,cuda:0,0.01,constant,1000,schedule_checkpoint_plus_microbatch,4,4995,5,1000,5,adam,0.7308431943827972,0.7308264970779419,3,1.0,3,0d5f5723926efbb27d0e9d3fef2ac64dd73a99258ac93cdf542aeb2ce4a4c5f6,Haar-random,816002,61,max_steps,4080,float32,1e-06,
haar,16,M=d,walsh_degree_1,WD-1,1.0,/home/shc/QSD_project/gpu_qsd/results/memopt_haar_wd1_fullucr_nsys4_M16_instances00-09_r5_su61_steps1000_nomemopt/instance02/walsh_degree_1/raw/haar_walsh_degree1_gpu_results.csv,416002,0.26912903785705566,1.0,16,816002,complex64,50,0.2691839933395386,2.718772233578637e-05,2,gpu,cuda:0,0.01,constant,1000,schedule_checkpoint_plus_microbatch,4,4825,5,1000,5,adam,0.7308431943827972,0.7308160066604614,1,1.0,1,0d5f5723926efbb27d0e9d3fef2ac64dd73a99258ac93cdf542aeb2ce4a4c5f6,Haar-random,816002,61,max_steps,3866,float32,1e-06,1
haar,16,M=d,full_ucr,full-UCR,1.0,/home/shc/QSD_project/gpu_qsd/results/memopt_haar_wd1_fullucr_nsys4_M16_instances00-09_r5_su61_steps1000_nomemopt/instance03/full_ucr/raw/haar_full_ucr_gpu_results.csv,416003,0.23756390810012817,1.0,16,816003,complex64,50,0.23759210109710693,3.4489877523968815e-06,3,gpu,cuda:0,0.01,constant,1000,schedule_checkpoint_plus_microbatch,4,4995,5,1000,5,adam,0.7624113478906455,0.7624078989028931,4,1.0,4,e3b30a2e1ef1b08aebd46774fdfb2bf91efeb44543144cfaf68f08f01e0a7d35,Haar-random,816003,61,max_steps,4080,float32,1e-06,
haar,16,M=d,walsh_degree_1,WD-1,1.0,/home/shc/QSD_project/gpu_qsd/results/memopt_haar_wd1_fullucr_nsys4_M16_instances00-09_r5_su61_steps1000_nomemopt/instance03/walsh_degree_1/raw/haar_walsh_degree1_gpu_results.csv,416003,0.23755431175231934,1.0,16,816003,complex64,50,0.23757123947143555,-1.7412637918989837e-05,3,gpu,cuda:0,0.01,constant,1000,schedule_checkpoint_plus_microbatch,4,4825,5,1000,5,adam,0.7624113478906455,0.7624287605285645,4,1.0,4,e3b30a2e1ef1b08aebd46774fdfb2bf91efeb44543144cfaf68f08f01e0a7d35,Haar-random,816003,61,max_steps,3866,float32,1e-06,1
haar,16,M=d,full_ucr,full-UCR,1.0,/home/shc/QSD_project/gpu_qsd/results/memopt_haar_wd1_fullucr_nsys4_M16_instances00-09_r5_su61_steps1000_nomemopt/instance04/full_ucr/raw/haar_full_ucr_gpu_results.csv,416004,0.261441707611084,1.0,16,816004,complex64,50,0.2614576816558838,-1.3524998524583332e-05,4,gpu,cuda:0,0.01,constant,1000,schedule_checkpoint_plus_microbatch,4,4995,5,1000,5,adam,0.7385287933455916,0.7385423183441162,2,1.0,2,09df0461941a72d12ca467f6876e7a3335b61bb739afa3770f765c5ff718dd33,Haar-random,816004,61,max_steps,4080,float32,1e-06,
haar,16,M=d,walsh_degree_1,WD-1,1.0,/home/shc/QSD_project/gpu_qsd/results/memopt_haar_wd1_fullucr_nsys4_M16_instances00-09_r5_su61_steps1000_nomemopt/instance04/walsh_degree_1/raw/haar_walsh_degree1_gpu_results.csv,416004,0.26143980026245117,1.0,16,816004,complex64,50,0.2614612579345703,-9.948719838059894e-06,4,gpu,cuda:0,0.01,constant,1000,schedule_checkpoint_plus_microbatch,4,4825,5,1000,5,adam,0.7385287933455916,0.7385387420654297,1,1.0,1,09df0461941a72d12ca467f6876e7a3335b61bb739afa3770f765c5ff718dd33,Haar-random,816004,61,max_steps,3866,float32,1e-06,1
